event_name,user_pseudo_id,item_id,item_name
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
add_to_cart,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
select_item,14491FC70F574938B22D0082883A1C24,18,Deluxe Lunch
select_item,1A05460826DE4A0F802AFEAA8A41B62B,511,Sinnanda JKT
select_item,1A05460826DE4A0F802AFEAA8A41B62B,511,Sinnanda JKT
select_item,1BB238FCD666471ABD1E1E130582204C,355,Tastylicious Rantangan (2-3 pax) - Lunch
add_to_cart,1BB238FCD666471ABD1E1E130582204C,355,Tastylicious Rantangan (2-3 pax) - Lunch
select_item,1BB238FCD666471ABD1E1E130582204C,355,Tastylicious Rantangan (2-3 pax) - Lunch
add_to_cart,1BB238FCD666471ABD1E1E130582204C,355,Tastylicious Rantangan (2-3 pax) - Lunch
remove_from_cart,1D89AD53537B4D8DA54989DF0B5765B1,15798,(not set)
select_item,1D89AD53537B4D8DA54989DF0B5765B1,124,Ayam Suwir Sambal Matah
add_to_wishlist,1D89AD53537B4D8DA54989DF0B5765B1,5461,Chicken Katsu Pasta
add_to_wishlist,1D89AD53537B4D8DA54989DF0B5765B1,5461,Chicken Katsu Pasta
select_item,1D89AD53537B4D8DA54989DF0B5765B1,5461,Chicken Katsu Pasta
select_item,1D89AD53537B4D8DA54989DF0B5765B1,7790,Nasi Ayam Bakar dan Bakwan Jagung
select_item,1D89AD53537B4D8DA54989DF0B5765B1,717,Nasi Dori Asam Manis
select_item,1D89AD53537B4D8DA54989DF0B5765B1,13388,Nasi Fuyunghai
select_item,1D89AD53537B4D8DA54989DF0B5765B1,13388,Nasi Fuyunghai
add_to_cart,1D89AD53537B4D8DA54989DF0B5765B1,13388,Nasi Fuyunghai
remove_from_cart,1D89AD53537B4D8DA54989DF0B5765B1,15770,(not set)
select_item,1D89AD53537B4D8DA54989DF0B5765B1,13381,Nasi Ayam Saus Telur Asin
select_item,1D89AD53537B4D8DA54989DF0B5765B1,5520,Onigiri Seafood Tempura
select_item,1D89AD53537B4D8DA54989DF0B5765B1,5520,Onigiri Seafood Tempura
add_to_cart,1D89AD53537B4D8DA54989DF0B5765B1,5520,Onigiri Seafood Tempura
select_item,1FA401B9286441CFB640EDFF142609D4,18,Deluxe Lunch
select_item,1FA401B9286441CFB640EDFF142609D4,20,Healthy Lunch
select_item,1FA401B9286441CFB640EDFF142609D4,785,Salad & Buah Potong
